GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "11700","Asheville, NC (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",244960,246263,251104,253306,257291,260984,264807,266999,270770,275655,279654,283635,285988,289085,289822,293506,296586,299050,300229,302741,305480,309502,315160,321240,328220,334878,341739,347921,354052,359909,365159,370615,374904,379818,385178,390713,396408,404546,411842,417457,422014,425338,428073,430951,435823,439715,444673,450459,455255,459585
 "11700","Asheville, NC (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2981,3190,3431,3844,4319,4671,4981,5523,6108,6746,7382,8284,9263,9765,10682,11756,12428,13147,14075,15212,16501,17373,17965,18998,19876,20488,21623,22417,23811,24961,25469,26449,27223,27183,27415,29125,30419,32465,33911,34367,32968,33428,34633,36586,36298,38512,40618,41744,43265,45433
 "12020","Athens-Clarke County, GA (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",254551,287152,321923,363661,415511,470958,520622,579382,641865,719753,790245,871547,998482,1081243,1209146,1326414,1435020,1576707,1680289,1845495,2051027,2202783,2289739,2414496,2575471,2747204,2968596,3188396,3347496,3591792,3758845,3949385,4167242,4304197,4536153,4736152,4974740,5215939,5469286,5640037,5586301,5693052,5986133,6274463,6446529,6918594,7443004,7680406,8126567,8598032
 "12020","Athens-Clarke County, GA (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",92643,94672,97214,100987,105560,107666,108211,106120,107309,108452,109148,114324,117011,118289,120365,122473,124327,125434,128002,130586,133894,136914,139359,141899,144916,148953,151718,154977,158291,160330,163456,166763,168973,170838,173847,178106,178974,183171,186781,189948,192021,193435,194349,195981,197592,198378,202533,205296,208997,211306
 "12020","Athens-Clarke County, GA (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2748,3033,3311,3601,3936,4374,4811,5460,5981,6637,7240,7623,8533,9141,10046,10830,11542,12570,13127,14132,15318,16089,16431,17016,17772,18443,19567,20573,21148,22402,22996,23683,24662,25195,26093,26592,27796,28476,29282,29693,29092,29431,30801,32016,32625,34876,36750,37411,38884,40690
 "12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",7004292,7695760,8534310,9754566,11042213,12157534,13096935,14504859,16314364,18510403,20856158,23755858,26827948,29069283,32382541,37264505,41718654,46111602,50350752,55371110,59512828,64033797,66969658,72962981,78347953,84778242,92783942,101611806,109575090,122480229,132283706,145805210,153691997,157050560,162053533,171675804,183620829,198286961,207321580,205537728,199448720,203513558,219075355,226640964,230465705,250321570,265968407,278237306,295294501,312213493
 "12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",1830794,1862083,1923687,1986477,2055233,2109395,2127779,2152893,2194331,2234980,2295738,2352155,2403406,2453618,2516569,2593856,2689442,2784902,2881787,2965367,3033139,3104221,3195398,3291991,3402250,3523718,3644699,3765817,3888398,4021410,4157862,4293475,4402455,4489288,4572541,4659574,4770870,4931848,5066356,5170099,5240828,5302703,5366252,5444763,5511323,5594545,5688284,5790280,5874249,5949951
 "12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3826,4133,4436,4910,5373,5764,6155,6737,7435,8282,9085,10100,11162,11848,12868,14366,15512,16558,17472,18673,19621,20628,20958,22164,23028,24059,25457,26983,28180,30457,31815,33960,34911,34983,35441,36844,38488,40205,40921,39755,38057,38379,40825,41625,41817,44744,46757,48052,50269,52473
 "12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",694634,782866,871879,964555,1081593,1173626,1283784,1421862,1575347,1779776,2069787,2386106,2735574,2921164,3177478,3586003,3831249,4099040,4343758,4747699,4945472,5065020,4796490,5394249,5662193,5805053,6268051,6682656,7028062,7337971,7562811,8017788,7486313,7777607,8097928,8650156,9127596,9991576,10445372,10738345,10519573,10708168,11210439,11488052,11647935,11885211,11993907,12102659,12397367,12917979
 "12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",174603,175908,179824,184987,187199,189113,189544,189613,189311,191121,193082,194566,195984,196548,199168,202752,206045,209388,212581,217445,221589,225431,228763,231612,234288,236589,239212,242152,244771,247863,250432,253674,255737,259263,263285,267723,270332,271759,272303,273014,274049,274649,274606,274651,274369,272656,270471,267813,266328,265429
